fips,county,state,population,preventable_stays,preventable_black,preventable_white,uninsured,primary_care,mental_health,dentists,other_providers,flu_vaccinations,mammogram,broadband,pct_white,pct_black,pct_hispanic,poverty,log_preventable,disparity_count,log_uninsured,log_primary_care,log_mental_health,log_dentists,log_other_providers,log_population,primary_care_per_100k,mental_health_per_100k
01051,Elmore County,AL,90441,3630,4097,3464,0.0899437942,2.239541e-4,3.648788e-4,1.339839e-4,4.643912e-4,0.34,0.47,0.9006732454,0.7195962008,0.2174124567,0.0347740516,0.17,8.197263371414335,572,0.08612612995740603,2.2392902602406882e-4,3.64812247919038e-4,1.339749249590141e-4,4.6428340377843735e-4,11.412452983385178,2.4762452869826735e-4,4.0344401322409086e-4
01053,Escambia County,AL,36558,3640,4166,3396,0.1241663326,2.997357e-4,0.0010120904,4.363716e-4,6.838448e-4,0.29,0.35,0.7539316172,0.605147984,0.3077028284,0.0237978008,0.29,8.200013648175434,281,0.11704172326334723,2.9969078822937036e-4,0.001011578581819458,4.3627641760226525e-4,6.836110846886312e-4,10.506655319476549,8.198908583620548e-4,0.002768451228185349
01055,Etowah County,AL,103241,4044,4386,3937,0.112525627,7.367054e-4,0.0015400858,5.044234e-4,0.0012301314,0.39,0.29,0.8496169561,0.7659360138,0.1498145117,0.0537577125,0.255,8.305236829492593,464,0.10663277029856294,7.364341657818098e-4,0.001538901084084533,5.042962212829254e-4,0.001229375408285341,11.544821339953792,7.135783264400771e-4,0.0014917385534816594
01057,Fayette County,AL,15967,3940,932,3792,0.1155548403,9.908348e-4,1.878875e-4,3.102122e-4,6.889209e-4,0.41,0.4,0.7782184763,0.8387298804,0.111730444,0.0223586146,0.22,8.279189777195004,-457,0.10935189576181953,9.90344247210725e-4,1.8786985135437178e-4,3.1016409414395916e-4,6.886837029305882e-4,9.678279371339702,0.006205516377528652,0.001176723867977704
01059,Franklin County,AL,31802,5425,5940,5321,0.1369978534,4.06085e-4,1.572228e-4,2.192158e-4,7.23225e-4,0.37,0.33,0.6628137669,0.7333815483,0.0366329162,0.2060876674,0.344,8.598957493218878,197,0.12839132681586926,4.0600256980146657e-4,1.5721044179085885e-4,2.1919177572751216e-4,7.229635988266642e-4,10.367284459872343,0.0012769165461291743,4.943802276586378e-4
01061,Geneva County,AL,26988,3186,3050,3149,0.1210851975,2.996142e-4,3.705351e-4,7.46742e-5,3.334815e-4,0.42,0.36,0.765971564,0.8189936268,0.0874092189,0.0553208834,0.27,8.066835314417336,-27,0.11429714254015849,2.995693246289078e-4,3.704664688228863e-4,7.467141202067758e-5,3.3342590740364727e-4,10.203147601747316,0.0011101756336149397,0.0013729624277456648
01065,Hale County,AL,14888,4263,4988,3780,0.1139656858,2.033347e-4,4.701773e-4,1.370332e-4,6.716819e-4,0.35,0.39,0.76033207,0.3937399248,0.5765717356,0.0130977969,0.322,8.357962965845681,180,0.10792633833768138,2.033140303016426e-4,4.700668012879017e-4,1.3702381180861583e-4,6.714564226730926e-4,9.608310798322087,0.0013657623589468028,0.0031580957818377214
01067,Henry County,AL,17899,3857,3397,3916,0.1127886987,3.436623e-4,7.262976e-4,2.832059e-4,2.234762e-4,0.39,0.43,0.8001196888,0.7091457623,0.2393429801,0.0225152243,0.227,8.257904193465674,-93,0.10686920584224086,3.4360326163750116e-4,7.260339735378864e-4,2.8316580477903144e-4,2.234512329136085e-4,9.7925001243465,0.0019200083803564444,0.004057755181853735
01069,Houston County,AL,108462,3542,6391,3109,0.1171585758,8.189246e-4,0.0019177223,6.384219e-4,0.002138998,0.44,0.43,0.8534087974,0.6421696078,0.2720584168,0.0475927053,0.246,8.172729104865471,3560,0.1107884758121263,8.185894642046784e-4,0.0019158858181233505,6.382181954337902e-4,0.0021367136007482365,11.59415516020291,7.550336523390681e-4,0.0017681052350131843
01071,Jackson County,AL,53467,2342,1789,2318,0.129937158,5.116253e-4,5.610938e-4,3.214157e-4,8.603438e-4,0.4,0.49,0.8686868687,0.8828810294,0.0329736099,0.0366768287,0.192,7.759187438507795,-283,0.12216201878844236,5.114944644000959e-4,5.60936445731409e-4,3.213640570394999e-4,8.599739164091742e-4,10.886819920140972,9.568992088578003e-4,0.0010494207642096993
01073,Jefferson County,AL,662895,3161,3962,2838,0.0960067357,0.0011110778,0.0027078195,9.392719e-4,0.0021119483,0.47,0.46,0.8851776238,0.4808966729,0.4297648949,0.0547251073,0.215,8.058960017769417,7451,0.09167333421861788,0.0011104610098868473,0.0027041599615356556,9.388310601730741e-4,0.0021097212722162523,13.404371885585258,1.676099231401655e-4,4.0848392279320254e-4
01077,Lauderdale County,AL,96814,3140,4046,3084,0.1064372475,5.423051e-4,0.0019625261,5.840756e-4,0.0012808065,0.48,0.39,0.817185445,0.8320077675,0.0995310596,0.035149875,0.168,8.052296499538647,931,0.10114516629342615,5.421581057306575e-4,0.0019606028615128325,5.839050942356387e-4,0.0012799869670556195,11.480546890906206,5.601515276716177e-4,0.0020271098188278554
01079,Lawrence County,AL,33502,3658,2205,3709,0.1217629202,1.813237e-4,0.0012238075,9.03234e-5,3.880365e-4,0.38,0.39,0.7443895017,0.7611187392,0.099307504,0.032595069,0.192,8.204945165019208,-504,0.11490148370376954,1.813072628447454e-4,0.0012230592580086464,9.03193210873549e-5,3.879612333074867e-4,10.419360417523633,5.412324637335084e-4,0.003652938630529521
01081,Lee County,AL,183215,2107,3049,1974,0.1004613633,4.965636e-4,0.001353601,3.429716e-4,8.350845e-4,0.42,0.47,0.8693482868,0.66031165570000006,0.2237535136,0.0538274705,0.149,7.653494909661253,1970,0.09572951305366546,4.964403530938963e-4,0.0013526857080333058,3.429127986852747e-4,8.347360109373383e-4,12.118415605599626,2.71027808858445e-4,7.388046830226784e-4
01083,Limestone County,AL,114654,2758,4630,2689,0.0923175388,3.441316e-4,6.54142e-4,2.975654e-4,6.890296e-4,0.47,0.45,0.8915819195,0.7319849286,0.1410330211,0.0769009367,0.113,7.922623574217286,2225,0.08830162149941503,3.440724003021175e-4,6.53928142378917e-4,2.975211361969829e-4,6.887923280904316e-4,11.649674176469427,3.001479233171106e-4,5.705356987109041e-4
01087,Macon County,AL,18370,3060,3698,971,0.0961538462,3.175443e-4,0.0047904192,2.700367e-4,9.798585e-4,0.28,0.38,0.7586351559,0.1729450191,0.7834512793,0.0232444203,0.406,8.026496938945412,501,0.09180754929522807,3.1749389347943856e-4,0.004778981654491235,2.7000024665259375e-4,9.793787520245415e-4,9.818474178209172,0.0017286026129559064,0.026077404463799674
01089,Madison County,AL,412600,2609,3746,2419,0.0806479077,8.552394e-4,0.0020019389,5.377077e-4,0.0016238488,0.43,0.49,0.9130664927,0.6250339312,0.2456834707,0.0682258846,0.135,7.867105500316739,5475,0.07756077579637632,8.548738911679638e-4,0.001999937690740897,5.375631870161345e-4,0.001622531783102135,12.930233879619289,2.0728051381483276e-4,4.8520089675230244e-4
01091,Marengo County,AL,18684,2883,3445,2800,0.1024383505,4.211413e-4,4.281738e-4,2.667378e-4,8.028259e-4,0.38,0.4,0.7646749836,0.442945836,0.5122029544,0.0283665168,0.331,7.96693349840484,121,0.09752440886156692,4.2105264489265614e-4,4.2808215975624023e-4,2.6670223179789073e-4,8.025038076649105e-4,9.835422821621998,0.0022540210875615497,0.002291660244059088
01093,Marion County,AL,29244,5097,5740,5075,0.1121395987,2.39349e-4,3.077554e-4,2.057895e-4,0.0010258515,0.38,0.4,0.7657715652,0.9045958145,0.0402817672,0.033100807,0.243,8.53660358493606,194,0.1062857263483858,2.3932036059799402e-4,3.0770805302077144e-4,2.0576832824546472e-4,0.0010253256739321188,10.283429703413207,8.184550677061962e-4,0.0010523710846669404
01097,Mobile County,AL,411640,3646,4660,3340,0.1176122841,7.117386e-4,0.0013798465,5.42037e-4,0.0017393839,0.42,0.39,0.8388481499,0.5525119036,0.3636405597,0.035455738,0.248,8.20166019080868,5434,0.11119452039985103,7.114854342007166e-4,0.0013788953866445367,5.418901510079726e-4,0.0017378729236823462,12.927904459950028,1.7290316781653874e-4,3.352070984355262e-4
01099,Monroe County,AL,19229,3745,4536,3517,0.1147275306,4.580619e-4,0.00119611,2.061431e-4,7.800718e-4,0.35,0.41,0.6875338021,0.5301887774,0.4169223569,0.0144053253,0.279,8.228443883004033,196,0.10861000787467102,4.579570216739229e-4,0.0011953952303392398,2.0612185543072555e-4,7.79767702128544e-4,9.864174835150587,0.0023821410369754014,0.006220344271672994
01101,Montgomery County,AL,224980,3364,4214,2821,0.1125308519,9.673136e-4,0.0022802027,7.9519e-4,0.0018401636,0.36,0.48,0.8895412238,0.2954662637,0.6033069606,0.0499111032,0.26,8.121183242078828,3134,0.1066374667186759,9.66846053684517e-4,0.002277606982915283,7.948740039388492e-4,0.001838472573155562,12.323766788346816,4.299553738110054e-4,0.0010135135123122054
01103,Morgan County,AL,125133,3621,4924,3570,0.1225546779,5.094285e-4,0.0017261634,5.233031e-4,0.0010069286,0.44,0.4,0.8317607483,0.7272342228,0.1290466943,0.1063028937,0.168,8.19478163844336,1694,0.11560705027199206,5.092987853534026e-4,0.0017246752921903908,5.231662246822408e-4,0.0010064219874505742,11.737132450637635,4.071096353479897e-4,0.001379462971398432
01105,Perry County,AL,7738,4058,4770,2626,0.1012900976,3.590664e-4,6.461618e-4,2.48911e-4,7.753942e-4,0.25,0.41,0.7145539906,0.2750064616,0.6928146808,0.0138278625,0.503,8.308691916838898,166,0.09648230859290245,3.590019510873011e-4,6.459531273501243e-4,2.488800267965542e-4,7.75093737225279e-4,8.953898535260459,0.004640299819074697,0.008350501421555958
